County,Votes
"Beauregard Parish, Louisiana",15078.0
Bryan,15063.0
Williamsburg,15049.0
Wapello,14996.0
Wise,14991.0
Coshocton,14961.0
Dodge,14959.0
Greene,14955.0
Santa Cruz,14926.0
"Evangeline Parish, Louisiana",14879.0
Le Sueur,14867.0
Panola,14854.0
Clinton,14839.0
Pontotoc,14814.0
Rio Arriba,14795.0
Alcorn,14781.0
Leelanau,14757.0
Washington,14747.0
Miami,14712.0
Wharton,14707.0
Marshall,14698.0
Polk,14698.0
Alpena,14688.0
Putnam,14680.0
Mason,14658.0
Perry,14647.0
Park,14634.0
Lawrence,14623.0
Morgan,14607.0
Barry,14604.0
Washington,14571.0
Charlevoix,14567.0
Lincoln,14563.0
Greene,14560.0
Harvey,14540.0
Steuben,14530.0
Sequoyah,14437.0
Crawford,14404.0
"Jefferson Davis Parish, Louisiana",14277.0
Marion,14217.0
Jasper,14216.0
Teller,14203.0
Chester,14202.0
Vernon,14193.0
Caroline,14189.0
Sheridan,14187.0
Polk,14158.0
Cass,14135.0
Lee,14106.0
Platte,14047.0
Dorchester,14034.0
